Source:,C:\Users\Joseph\Documents\UKDAQ\Unified-Kinematic-DAQ\KiCAD\UKDAQ\UKDAQ.kicad_sch,,,,,,
Date:,12/4/2022 19:51,,,,,,
Tool:,Eeschema (6.0.7),,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,22,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,
,,C1,1 uF,Device:C,,~,
,,C2,1 uF,Device:C,,~,
,,C3,~1 mF,Device:C_Polarized_US,Custom,~,
,,C4,120 nF,Device:C,,~,
,,C5,6 pF,Device:C,,~,
,,C6,100 nF,Device:C,,~,
,,C7,100 nF,Device:C,,~,
,,C8,6 pF,Device:C,,~,
,,C9,1 uF,Device:C,,~,
,,C10,1 uF,Device:C,,~,
,,J1,5 pin Molex (0537800570),Connector:Conn_01x05_Male,,~,
,,R1,10k,Device:R,,~,
,,R2,10,Device:R,,~,
,,R3,10k,Device:R,,~,
,,R4,4.7k,Device:R,,~,
,,R5,4.7k,Device:R,,~,
,,U1,AP2210N_SOT-23-3,Joseph:AP2210N_SOT-23-3,SOT-23-3,,
,,U2,PI4ULS5V202,Joseph:PI4ULS5V202,UDFN-8,,
,,U3,BNO055,Joseph:BNO055,Custom,,
,,U4,BME280,Joseph:BME280,Custom,,
,,U5,MAX32660-24TQFN-EP,Joseph:MAX32660-24TQFN-EP,Custom,,
,,Y1,Crystal,Device:Crystal,,~,
,,,,,,,
,,,,,,,
,,,,,,,
Collated Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,
490-7229-1-ND,4,"C1, C2, C9, C10",1 uF,Device:C,0201,~,
493-3773-1-ND,1,C3,~1 mF,Device:C_Polarized_US,Custom,~,
399-17396-1-ND,1,C4,120 nF,Device:C,0603,~,
587-5715-1-ND,2,"C5, C8",6 pF,Device:C,01005,~,
1292-1391-1-ND,2,"C6, C7",100 nF,Device:C,0603,~,
6,1,J1,5 pin Molex (0537800570),Connector:Conn_01x05_Male,,~,
P10KCPCT-ND,2,"R1, R3",10k,Device:R,0402,~,
541-10.0ABCT-ND,1,R2,10,Device:R,0201,~,
P4.7KDCCT-ND,2,"R4, R5",4.7k,Device:R,0402,~,
AP2210N-3.3TRG1DICT-ND,1,U1,AP2210N_SOT-23-3,Joseph:AP2210N_SOT-23-3,SOT-23-3,,
PI4ULS5V202XVEXCT-ND,1,U2,PI4ULS5V202,Joseph:PI4ULS5V202,UDFN-8,,
Arrow products - BNO055,1,U3,BNO055,Joseph:BNO055,Custom,,https://www.bosch-sensortec.com/products/smart-sensors/bno055/
828-1063-1-ND,1,U4,BME280,Joseph:BME280,Custom,,
MAX32660GTG+-ND,1,U5,MAX32660-24TQFN-EP,Joseph:MAX32660-24TQFN-EP,24TQFN-EP,,
15,1,Y1,Crystal,Device:Crystal,,~,
